file,asset_id,serial,vendor,product,version,device_class,cdx_type,purdue_level,base_platform,sector,network_exposure,lifecycle,tlp,safety_sil,protocols,component_count,vulnerable_component_count
ICS-0001_siemens_simatic-s7-1500-cpu-1511-1-pn_SBOM.json,ICS-0001,urn:uuid:d000fb60-b2ae-5413-b4ec-177a5a8c9d9b,Siemens AG,SIMATIC S7-1500 CPU 1511-1 PN,6.7.29,plc,firmware,1,proprietary-rtos,wastewater,isolated-cell,operations,RED,SIL2,profinet;s7comm-plus;opc-ua;modbus-tcp,16,5
ICS-0002_siemens_simatic-s7-1200-cpu-1212c_SBOM.json,ICS-0002,urn:uuid:cc6c3121-c219-571f-916f-c033ad657bb2,Siemens AG,SIMATIC S7-1200 CPU 1212C,4.22.35,plc,firmware,1,proprietary-rtos,manufacturing-process,remote-accessible,post-build,GREEN,SIL2,profinet;s7comm-plus;modbus-tcp,15,4
ICS-0003_siemens_simatic-s7-400-cpu-414-3_SBOM.json,ICS-0003,urn:uuid:03656f40-e815-5a91-893e-c03298e5e7d8,Siemens AG,SIMATIC S7-400 CPU 414-3,6.17.2,plc,firmware,1,proprietary-rtos,manufacturing-process,control-network,build,AMBER+STRICT,,profibus;s7comm;industrial-ethernet,14,4
ICS-0004_rockwell_controllogix-controller-1756-l71_SBOM.json,ICS-0004,urn:uuid:577bfafb-e8d5-5243-8601-39b39750db64,Rockwell Automation,ControlLogix Controller 1756-L71,8.3.23,plc,firmware,1,vxworks,power-distribution,isolated-cell,operations,RED,,ethernet-ip;cip;devicenet,19,6
ICS-0005_rockwell_compactlogix-controller-5069-l306er_SBOM.json,ICS-0005,urn:uuid:f619058e-d9d1-58dc-a63a-e9febd272a34,Rockwell Automation,CompactLogix Controller 5069-L306ER,9.3.25,plc,firmware,1,vxworks,oil-and-gas-upstream,dmz-routable,decommission,CLEAR,PLd (ISO 13849),ethernet-ip;cip;modbus-tcp,18,8
ICS-0006_rockwell_micrologix-controller-1400-b_SBOM.json,ICS-0006,urn:uuid:319c2928-ffd7-543c-993e-e053e593a3d5,Rockwell Automation,MicroLogix Controller 1400-B,5.14.23,plc,firmware,1,proprietary-rtos,power-distribution,isolated-cell,post-build,RED,,ethernet-ip;df1,14,6
ICS-0007_schneider_modicon-m340-controller-bmxp342020_SBOM.json,ICS-0007,urn:uuid:6c4f5381-1bf4-504e-8b78-1be5497ce75b,Schneider Electric,Modicon M340 Controller BMXP342020,1.2.5,plc,firmware,1,vxworks,oil-and-gas-midstream,control-network,post-build,GREEN,SIL2,modbus-tcp;ethernet-ip;canopen,15,7
ICS-0008_schneider_modicon-m580-epac-bmep582040_SBOM.json,ICS-0008,urn:uuid:fe043fc7-fef4-50a3-8c5c-0886cce6b6e7,Schneider Electric,Modicon M580 ePAC BMEP582040,8.11.1,plc,firmware,1,linux,power-transmission,dmz-routable,design,AMBER+STRICT,SIL2,modbus-tcp;ethernet-ip;opc-ua;dnp3,23,8
ICS-0009_mitsubishi_melsec-iq-r-cpu-r04cpu_SBOM.json,ICS-0009,urn:uuid:21a8feff-1bfe-58f3-8776-c37c91a35733,Mitsubishi Electric,MELSEC iQ-R CPU R04CPU,1.4.22,plc,firmware,1,proprietary-rtos,water-treatment,dmz-routable,post-build,CLEAR,,cc-link-ie;melsoft;modbus-tcp;slmp,19,8
ICS-0010_mitsubishi_melsec-q-series-cpu-q03ude_SBOM.json,ICS-0010,urn:uuid:7c8d9588-f6b8-5f9b-ab46-9edb2695a768,Mitsubishi Electric,MELSEC-Q Series CPU Q03UDE,4.19.36,plc,firmware,1,proprietary-rtos,steel-and-metals,remote-accessible,design,CLEAR,,cc-link;melsoft;modbus-tcp,14,4
